n_estimators,max_depth,learning_rate,threshold,F2,Recall,Precision,Balanced_Accuracy
100,3,0.01,0.1,0.0,0.0,0.0,0.5
100,3,0.01,0.15,0.0,0.0,0.0,0.5
100,3,0.01,0.2,0.0,0.0,0.0,0.5
100,3,0.01,0.25,0.0,0.0,0.0,0.5
100,3,0.01,0.3,0.0,0.0,0.0,0.5
100,3,0.01,0.35,0.0,0.0,0.0,0.5
100,3,0.01,0.4,0.0,0.0,0.0,0.5
100,3,0.01,0.45,0.0,0.0,0.0,0.5
100,3,0.01,0.5,0.0,0.0,0.0,0.5
100,3,0.01,0.55,0.0,0.0,0.0,0.5
100,3,0.01,0.6,0.0,0.0,0.0,0.5
100,3,0.01,0.65,0.0,0.0,0.0,0.5
100,3,0.01,0.7,0.0,0.0,0.0,0.5
100,3,0.01,0.75,0.0,0.0,0.0,0.5
100,3,0.01,0.8,0.0,0.0,0.0,0.5
100,3,0.01,0.85,0.0,0.0,0.0,0.5
100,3,0.01,0.9,0.0,0.0,0.0,0.5
100,3,0.05,0.1,0.0,0.0,0.0,0.5
100,3,0.05,0.15,0.0,0.0,0.0,0.5
100,3,0.05,0.2,0.0,0.0,0.0,0.5
100,3,0.05,0.25,0.0,0.0,0.0,0.5
100,3,0.05,0.3,0.0,0.0,0.0,0.5
100,3,0.05,0.35,0.0,0.0,0.0,0.5
100,3,0.05,0.4,0.0,0.0,0.0,0.5
100,3,0.05,0.45,0.0,0.0,0.0,0.5
100,3,0.05,0.5,0.0,0.0,0.0,0.5
100,3,0.05,0.55,0.0,0.0,0.0,0.5
100,3,0.05,0.6,0.0,0.0,0.0,0.5
100,3,0.05,0.65,0.0,0.0,0.0,0.5
100,3,0.05,0.7,0.0,0.0,0.0,0.5
100,3,0.05,0.75,0.0,0.0,0.0,0.5
100,3,0.05,0.8,0.0,0.0,0.0,0.5
100,3,0.05,0.85,0.0,0.0,0.0,0.5
100,3,0.05,0.9,0.0,0.0,0.0,0.5
100,3,0.1,0.1,0.0,0.0,0.0,0.5
