CARTS_NET	AGEBAND	SEX	QWORK	EDUCAT3	FINHARD	CINTOFT	gor	rur11cat	CHILDHH	COHAB
1	5	1	1	1	3	2	2	2	1	-3
1	6	2	2	1	4	2	2	2	1	-3
1	4	1	1	1	2	1	4	2	0	-3
1	8	1	2	1	1	1	9	1	0	-3
1	1	2	3	2	3	1	9	1	0	2
1	2	1	3	2	1	1	9	1	0	2
1	7	2	1	2	1	1	9	1	0	-3
1	12	2	2	1	2	2	8	2	0	-3
1	7	1	997	1	997	2	8	2	0	-3
1	4	1	5	2	2	1	1	2	2	1
1	4	2	1	1	1	1	1	2	2	1
1	5	2	1	-3	3	2	3	2	2	1
1	5	1	1	-3	2	2	3	2	2	1
1	7	1	2	1	2	1	7	2	1	-3
1	1	2	3	2	4	1	6	1	3	2
1	1	2	3	2	4	1	6	1	2	2
2	10	2	997	2	4	2	2	2	0	-3
1	12	2	6	-3	3	5	9	1	0	-3
1	4	1	997	2	2	2	3	2	3	1
1	5	2	1	2	2	1	3	2	3	1
1	5	1	997	-3	3	1	8	2	1	-3
1	4	2	1	2	2	2	3	1	2	1
1	5	1	2	-3	2	2	3	1	2	1
1	7	1	1	1	3	1	9	2	1	1
1	7	2	1	2	3	1	9	2	1	1
1	5	2	1	2	2	2	6	2	0	1
1	3	1	1	1	3	1	6	2	0	1
1	12	2	6	2	3	3	1	1	0	-3
1	5	1	2	2	4	2	9	2	0	-3
1	10	1	1	2	3	2	3	2	0	-3
1	4	1	1	1	1	2	3	2	0	2
1	4	1	2	2	3	2	3	2	0	-3
1	4	1	2	-3	2	1	3	2	0	-3
1	7	2	1	2	2	1	1	2	2	-3
1	6	1	1	1	2	1	1	2	2	-3
1	11	2	6	-3	3	1	8	2	0	-3
1	12	1	6	1	3	1	2	2	0	-3
1	3	2	1	2	2	1	9	1	0	1
1	4	2	1	2	2	-3	9	1	0	1
1	6	1	1	2	2	2	5	2	2	1
1	8	2	1	2	2	2	5	2	2	1
1	15	2	6	2	1	3	8	2	0	-3
1	14	1	6	2	1	2	6	2	0	-3
1	8	1	4	2	4	2	5	2	0	-3
1	11	1	9	1	1	2	1	2	0	-3
2	15	1	6	-3	997	-3	9	1	0	-3
1	10	1	1	2	2	2	5	2	0	2
1	15	1	6	-3	2	-3	5	2	0	2
1	15	1	6	2	1	4	1	1	0	-3
1	8	1	8	2	1	2	7	2	0	-3
1	8	2	6	1	1	2	7	2	0	-3
1	4	1	1	1	4	1	7	2	0	-3
1	4	1	1	1	2	1	7	2	1	-3
1	4	2	1	2	2	1	7	2	1	-3
1	13	2	6	1	2	3	2	2	0	-3
1	9	1	997	999	5	1	8	2	0	2
2	1	2	3	999	3	1	8	2	0	2
2	3	2	1	-3	997	1	8	2	0	2
1	8	2	1	2	3	1	4	2	0	-3
1	4	1	1	2	2	1	8	2	2	-3
1	5	1	1	1	2	1	8	2	2	-3
1	8	1	1	1	2	2	4	2	0	-3
1	9	2	1	2	1	1	4	2	0	-3
1	3	2	1	2	3	2	6	1	0	2
1	10	2	1	1	2	4	6	1	0	-3
1	9	1	1	1	3	2	6	1	0	-3
1	8	1	2	1	1	2	9	1	0	-3
1	8	2	1	1	1	2	9	1	0	-3
1	2	997	3	-3	4	1	9	1	0	-3
1	7	1	1	2	4	2	9	2	1	-3
1	6	2	1	1	3	2	9	2	4	-3
1	14	1	6	-3	2	2	1	2	0	-3
1	7	2	1	1	2	1	5	2	1	-3
1	6	1	8	1	2	1	5	2	1	-3
1	1	1	3	-3	997	1	5	2	1	2
1	9	1	1	2	3	1	7	2	0	1
1	3	1	2	997	4	1	7	2	0	1
1	4	1	1	1	1	1	7	2	0	2
1	4	2	1	1	1	1	8	2	0	1
1	5	2	1	999	3	1	4	2	3	-3
1	7	1	1	2	3	1	7	2	0	1
1	13	2	6	-3	2	2	3	2	0	-3
1	12	1	6	2	2	3	3	2	0	-3
1	15	1	6	-3	1	4	9	2	0	-3
1	7	1	1	1	3	1	7	2	3	-3
1	6	2	1	2	3	1	7	2	3	-3
1	1	1	3	2	2	1	7	2	3	2
1	8	2	1	1	3	2	2	2	2	-3
1	7	2	1	2	3	2	7	2	0	-3
1	13	1	2	2	1	3	2	2	0	-3
1	4	1	1	1	2	2	8	2	4	-3
3	14	1	6	2	2	5	3	2	0	-3
1	9	997	997	997	3	3	2	2	4	-3
1	7	2	1	1	1	2	7	2	2	-3
1	7	1	2	1	1	2	7	2	2	-3
1	7	2	1	-3	1	1	1	2	0	-3
1	5	1	2	2	3	1	9	2	4	-3
2	4	2	1	1	3	1	9	2	4	-3
1	5	1	2	2	3	1	9	2	4	-3
2	1	1	1	2	2	1	9	2	4	2
1	7	2	1	999	2	2	8	2	0	2
1	11	1	6	2	997	-3	8	2	0	2
1	7	1	1	2	2	1	2	2	2	-3
1	8	1	8	-3	4	1	2	2	0	-3
1	2	2	4	-3	3	1	2	2	0	2
1	1	1	3	-3	997	1	2	2	0	2
2	8	1	8	-3	4	1	2	2	0	-3
1	5	1	1	-3	2	1	1	2	0	-3
1	3	1	1	1	1	1	2	2	0	1
1	3	1	1	1	1	1	2	2	0	1
1	11	2	9	1	2	2	4	1	0	-3
1	15	1	6	-3	1	-3	8	1	0	-3
1	6	1	8	1	2	2	5	2	1	-3
1	7	2	2	2	2	2	5	2	1	-3
1	1	2	3	-3	1	2	5	2	1	2
1	9	1	1	2	2	2	1	2	0	-3
1	8	2	1	1	2	2	1	2	0	-3
1	11	1	10	2	1	1	9	1	0	-3
1	12	2	6	-4	1	4	9	1	0	-3
1	9	1	1	2	1	2	9	2	0	-3
1	6	2	1	2	2	1	4	2	2	-3
1	9	1	6	2	2	2	9	1	0	-3
2	9	2	6	2	2	2	9	1	0	-3
1	7	1	10	2	2	2	6	1	0	-3
1	1	2	4	2	2	2	6	1	0	2
1	1	1	3	2	2	1	6	1	0	2
1	7	2	1	2	2	1	6	1	0	-3
1	11	2	6	2	2	2	9	1	0	-3
1	11	1	6	2	2	2	9	1	0	-3
1	13	1	8	1	1	3	5	2	0	-3
1	14	2	2	1	1	2	5	2	0	-3
1	7	1	2	2	2	1	8	1	0	-3
1	13	1	6	-3	1	2	8	2	0	-3
1	14	2	6	-3	1	4	8	2	0	-3
1	8	1	10	1	1	1	2	1	0	-3
1	9	2	9	1	1	2	2	1	0	-3
1	3	997	997	-3	997	1	5	2	1	-3
2	5	2	1	-3	2	1	5	2	1	-3
2	10	1	2	-3	1	3	5	2	1	-3
2	12	2	6	-3	1	2	5	2	1	-3
1	15	2	6	-3	3	2	1	2	0	-3
1	14	2	6	2	1	2	2	2	1	-3
1	13	1	6	997	1	5	2	2	1	-3
1	15	1	6	-3	2	1	6	2	0	-3
1	11	2	1	2	2	3	5	2	0	-3
1	7	1	1	1	1	2	5	2	1	-3
1	8	2	1	1	3	2	5	2	1	-3
1	5	1	997	997	1	1	5	2	0	-3
1	4	1	1	2	2	2	5	2	0	1
1	6	2	1	-3	2	1	5	2	0	1
1	10	2	1	2	2	1	1	2	0	-3
1	5	2	997	-3	3	5	7	2	0	-3
1	5	1	1	1	5	2	9	2	4	-3
1	1	2	4	-3	3	1	8	2	2	2
1	6	1	1	2	2	1	8	2	2	1
1	7	2	9	2	2	1	8	2	2	1
1	12	2	6	1	1	2	7	2	0	-3
1	12	1	6	2	1	2	7	2	0	-3
1	2	1	2	2	5	1	4	2	0	2
2	1	2	9	-3	5	1	4	2	0	2
1	6	1	2	1	3	2	6	2	2	-3
1	3	1	4	2	5	1	3	2	0	-3
1	14	1	6	-3	2	-3	9	2	0	-3
1	9	1	1	1	3	1	3	2	0	-3
1	10	2	9	2	2	3	6	1	0	-3
1	6	1	1	1	5	4	6	2	2	-3
1	8	2	1	2	4	1	6	2	2	-3
1	6	1	1	1	3	2	5	1	3	-3
1	10	1	9	-3	3	1	2	2	0	2
1	8	1	1	1	5	1	9	2	0	2
1	1	2	10	2	3	1	9	2	0	2
1	5	2	1	2	1	1	2	2	1	-3
1	2	2	3	2	3	1	6	2	0	2
1	3	2	2	1	2	2	6	2	0	2
2	2	1	3	2	4	1	6	2	0	2
1	10	1	2	1	1	2	8	1	0	-3
1	11	2	6	1	1	2	8	1	0	-3
1	14	2	6	-3	1	-3	6	2	0	-3
2	15	1	6	-3	3	-3	2	2	0	-3
1	12	1	6	-3	997	1	3	2	0	-3
1	12	1	997	2	3	2	2	2	0	-3
1	6	1	1	1	997	1	1	2	1	-3
1	7	2	1	-3	4	1	4	2	2	-3
1	1	1	3	-3	2	1	8	2	1	1
1	6	1	8	1	2	1	8	2	1	-3
1	12	2	6	1	2	2	9	1	0	-3
1	11	1	6	1	1	2	9	1	0	-3
1	9	2	1	1	2	2	1	2	0	-3
1	3	2	4	-3	5	1	1	2	0	2
1	2	2	4	2	4	2	1	2	0	-3
1	9	1	10	1	1	2	7	2	0	-3
1	3	2	10	1	1	2	7	2	0	2
1	10	1	2	1	1	1	7	2	0	-3
1	10	2	1	1	1	2	7	2	0	-3
1	3	1	1	1	3	1	4	2	0	2
2	10	2	1	2	4	1	4	2	0	-3
2	8	1	1	2	4	1	4	2	0	-3
1	6	2	1	1	4	1	7	2	2	-3
1	7	2	4	-3	3	4	3	2	0	-3
1	7	2	1	1	3	1	8	2	2	1
1	12	1	6	1	1	2	4	1	0	-3
1	12	2	6	1	2	2	4	1	0	-3
1	12	1	6	1	1	2	4	1	0	-3
1	4	1	2	1	3	2	5	1	2	-3
1	4	1	2	1	3	2	5	1	2	-3
1	4	1	2	2	2	1	7	2	0	1
2	997	997	1	2	4	1	7	2	4	997
2	5	1	-3	-3	-3	-3	3	2	1	2
1	7	2	1	2	3	1	5	2	0	-3
1	7	1	1	1	2	1	5	2	0	-3
1	9	2	1	1	1	2	3	1	0	-3
1	10	2	1	1	1	2	7	2	0	-3
1	8	1	8	1	1	2	7	2	0	-3
1	8	1	9	1	5	1	2	2	0	-3
1	8	2	8	1	4	2	2	2	0	-3
1	1	2	3	-3	3	1	2	2	0	2
1	1	2	3	-3	3	1	2	2	0	2
1	14	1	-5	-3	3	-3	9	2	0	-3
1	10	2	1	1	2	1	4	1	0	-3
1	11	1	1	1	2	1	7	2	0	-3
1	6	2	1	1	2	1	8	2	0	-3
1	2	1	1	1	2	1	2	2	0	2
1	3	1	1	2	2	1	4	2	0	1
1	3	2	1	2	4	1	4	2	0	1
1	6	2	1	1	3	2	3	2	2	-3
1	5	1	1	-3	3	1	3	2	2	-3
1	5	1	3	2	2	2	8	2	1	-3
1	5	2	1	1	3	2	8	2	1	-3
1	6	1	8	2	2	1	1	1	0	-3
1	8	2	1	2	2	1	1	1	0	-3
1	5	1	4	1	2	1	7	2	0	2
1	6	2	1	1	1	2	7	2	1	1
1	13	1	6	1	2	2	6	2	0	-3
1	11	1	6	1	1	3	7	2	0	-3
1	13	1	2	2	1	2	8	2	0	2
1	14	1	6	1	997	4	9	1	0	-3
2	11	1	9	-3	997	-3	2	2	0	-3
1	997	2	1	-3	4	1	6	1	1	-3
1	11	1	997	1	2	1	5	1	0	-3
1	4	1	1	1	3	1	1	1	0	1
1	5	2	1	1	3	1	1	1	0	-3
1	14	1	6	1	2	-3	2	2	0	-3
1	14	1	6	1	2	-3	2	2	0	-3
1	14	1	-4	1	2	-3	2	2	0	-3
1	997	1	997	2	3	4	8	2	0	-3
1	7	1	1	2	2	1	1	2	0	-3
1	7	1	2	1	2	2	5	1	2	-3
1	7	2	1	1	2	2	5	1	2	-3
1	8	1	1	997	3	2	8	2	0	2
1	2	997	4	1	4	1	8	2	0	2
1	1	2	3	2	997	1	8	2	1	2
1	7	1	2	1	3	2	8	2	1	2
1	4	1	1	1	1	1	2	2	0	2
2	10	1	8	-3	2	2	2	2	0	-3
2	10	2	9	-3	2	2	2	2	0	-3
1	5	1	8	1	3	1	4	2	1	1
1	7	1	1	1	3	1	6	2	0	-3
1	7	2	1	2	2	2	6	2	0	-3
1	12	1	6	-3	3	3	4	2	0	-3
1	9	2	2	-3	5	2	7	2	1	-3
1	9	997	1	997	5	-3	4	2	0	-3
1	14	1	6	-3	1	-3	9	2	0	-3
1	-3	2	6	-3	-4	3	9	2	0	-3
2	7	2	1	2	1	1	3	2	1	-3
2	11	2	6	-3	3	4	6	2	0	-3
